registration_key,source_name,source_path,source_pixel_size_y,source_pixel_size_x,source_pixel_unit,source_shape,source_image_height,source_image_width,converted_name,converted_path,converted_pixel_size_y,converted_pixel_size_x,converted_pixel_unit,converted_shape,converted_image_height,converted_image_width,keep_original_resolution,status,source_image_id,last_updated
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,1_f95ab3aa06.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\1_f95ab3aa06.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,f95ab3aa06,2026-05-21T18:35:23
C:\work\Lyu\testing\data\raw\Au rod::3.dm3,3.dm3,C:\work\Lyu\testing\data\raw\Au rod\3.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,3_3ac0a0460f.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\3_3ac0a0460f.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,3ac0a0460f,2026-05-21T18:35:23
C:\work\Lyu\testing\data\raw\Au rod::Au rod A242-40k-1.dm3,Au rod A242-40k-1.dm3,C:\work\Lyu\testing\data\raw\Au rod\Au rod A242-40k-1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A242-40k-1_58acf827ce.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A242-40k-1_58acf827ce.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,58acf827ce,2026-05-21T18:35:23
C:\work\Lyu\testing\data\raw\Au rod::Au rod A242-40k-2.dm3,Au rod A242-40k-2.dm3,C:\work\Lyu\testing\data\raw\Au rod\Au rod A242-40k-2.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A242-40k-2_0fb5670845.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A242-40k-2_0fb5670845.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,0fb5670845,2026-05-21T18:35:23
C:\work\Lyu\testing\data\raw\Au rod::Au rod A242-40k-3.dm3,Au rod A242-40k-3.dm3,C:\work\Lyu\testing\data\raw\Au rod\Au rod A242-40k-3.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A242-40k-3_0b0c85112b.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A242-40k-3_0b0c85112b.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,0b0c85112b,2026-05-21T18:35:24
C:\work\Lyu\testing\data\raw\Au rod::Au rod A301-10k.dm4,Au rod A301-10k.dm4,C:\work\Lyu\testing\data\raw\Au rod\Au rod A301-10k.dm4,0.15993204712867737,0.15993204712867737,nm,"(2048, 2048)",2048,2048,Au rod A301-10k_f8c2f786e5.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A301-10k_f8c2f786e5.png,0.6397281885147095,0.6397281885147095,nm,"(512, 512)",512,512,False,saved,f8c2f786e5,2026-05-21T18:35:24
C:\work\Lyu\testing\data\raw\Au rod::Au rod A301-6k-1.dm4,Au rod A301-6k-1.dm4,C:\work\Lyu\testing\data\raw\Au rod\Au rod A301-6k-1.dm4,0.26540565490722656,0.26540565490722656,nm,"(2048, 2048)",2048,2048,Au rod A301-6k-1_bdd9e982bc.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A301-6k-1_bdd9e982bc.png,1.0616226196289062,1.0616226196289062,nm,"(512, 512)",512,512,False,saved,bdd9e982bc,2026-05-21T18:35:24
C:\work\Lyu\testing\data\raw\Au rod::Au rod A301-6k-2.dm4,Au rod A301-6k-2.dm4,C:\work\Lyu\testing\data\raw\Au rod\Au rod A301-6k-2.dm4,0.26540565490722656,0.26540565490722656,nm,"(2048, 2048)",2048,2048,Au rod A301-6k-2_d6c8a98d10.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A301-6k-2_d6c8a98d10.png,1.0616226196289062,1.0616226196289062,nm,"(512, 512)",512,512,False,saved,d6c8a98d10,2026-05-21T18:35:24
C:\work\Lyu\testing\data\raw\Au rod::Au rod A301-6k-3.dm4,Au rod A301-6k-3.dm4,C:\work\Lyu\testing\data\raw\Au rod\Au rod A301-6k-3.dm4,0.26540565490722656,0.26540565490722656,nm,"(2048, 2048)",2048,2048,Au rod A301-6k-3_32ddd39eb9.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A301-6k-3_32ddd39eb9.png,1.0616226196289062,1.0616226196289062,nm,"(512, 512)",512,512,False,saved,32ddd39eb9,2026-05-21T18:35:24
C:\work\Lyu\testing\data\raw\Au rod::Au rod A301-6k-6.dm4,Au rod A301-6k-6.dm4,C:\work\Lyu\testing\data\raw\Au rod\Au rod A301-6k-6.dm4,0.26540565490722656,0.26540565490722656,nm,"(2048, 2048)",2048,2048,Au rod A301-6k-6_7672fa931e.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A301-6k-6_7672fa931e.png,1.0616226196289062,1.0616226196289062,nm,"(512, 512)",512,512,False,saved,7672fa931e,2026-05-21T18:35:25
C:\work\Lyu\testing\data\raw\Au rod::Au rod A389-40k-1.dm3,Au rod A389-40k-1.dm3,C:\work\Lyu\testing\data\raw\Au rod\Au rod A389-40k-1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A389-40k-1_016734e36e.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A389-40k-1_016734e36e.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,016734e36e,2026-05-21T18:35:25
C:\work\Lyu\testing\data\raw\Au rod::Au rod A389-40k-3.dm3,Au rod A389-40k-3.dm3,C:\work\Lyu\testing\data\raw\Au rod\Au rod A389-40k-3.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A389-40k-3_9bf7d824ec.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A389-40k-3_9bf7d824ec.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,9bf7d824ec,2026-05-21T18:35:25
C:\work\Lyu\testing\data\raw\Au rod::Au rod A389-40k-5.dm3,Au rod A389-40k-5.dm3,C:\work\Lyu\testing\data\raw\Au rod\Au rod A389-40k-5.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A389-40k-5_c04c37837e.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A389-40k-5_c04c37837e.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,c04c37837e,2026-05-21T18:35:25
C:\work\Lyu\testing\data\raw\Au rod::Au rod A732-1.dm3,Au rod A732-1.dm3,C:\work\Lyu\testing\data\raw\Au rod\Au rod A732-1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A732-1_12b17399f5.png,C:\CVEM\archive\old_outputs\converted_images_from_raw\Au rod\Au rod A732-1_12b17399f5.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,12b17399f5,2026-05-21T18:35:25
