registration_key,source_name,source_path,source_pixel_size_y,source_pixel_size_x,source_pixel_unit,source_shape,source_image_height,source_image_width,converted_name,converted_path,converted_pixel_size_y,converted_pixel_size_x,converted_pixel_unit,converted_shape,converted_image_height,converted_image_width,keep_original_resolution,status,source_image_id,last_updated
,,,,,,,,,0645c40c71_r002_c002.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\0645c40c71_r002_c002.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,0645c40c71_r002_c003.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\0645c40c71_r002_c003.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A242-40k-1_df3db2f91b.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A242-40k-1_df3db2f91b.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A242-40k-3_a3588fcaf4.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A242-40k-3_a3588fcaf4.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A301-10k_89c0991ab9.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A301-10k_89c0991ab9.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A301-6k-2_04b3650249.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A301-6k-2_04b3650249.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A301-6k-3_2f41064b4d.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A301-6k-3_2f41064b4d.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A389-40k-1_d4d8ab5399.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A389-40k-1_d4d8ab5399.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A389-40k-3_465884e609.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A389-40k-3_465884e609.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A389-40k-5_32ec7af313.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A389-40k-5_32ec7af313.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A732-1_57cad4bb07.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A732-1_57cad4bb07.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
,,,,,,,,,Au rod A732-3_5e3cff4825.png,C:\CVEM\archive\old_selected_images\selected_images_from_raw\selected_images\Au rod A732-3_5e3cff4825.png,,,,,,,,unmatched_selected_folder,,2026-06-11T15:35:06
