registration_key,source_name,source_path,source_pixel_size_y,source_pixel_size_x,source_pixel_unit,source_shape,source_image_height,source_image_width,converted_name,converted_path,converted_pixel_size_y,converted_pixel_size_x,converted_pixel_unit,converted_shape,converted_image_height,converted_image_width,keep_original_resolution,status,source_image_id,last_updated
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,1_cfbb8fc3fc.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\1_cfbb8fc3fc.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,cfbb8fc3fc,2026-05-19T01:18:21
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r000_c000.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r000_c000.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r000_c001.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r000_c001.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r000_c002.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r000_c002.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r000_c003.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r000_c003.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r001_c000.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r001_c000.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r001_c001.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r001_c001.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r001_c002.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r001_c002.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r001_c003.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r001_c003.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r002_c000.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r002_c000.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r002_c001.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r002_c001.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r002_c002.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r002_c002.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r002_c003.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r002_c003.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r003_c000.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r003_c000.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r003_c001.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r003_c001.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r003_c002.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r003_c002.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::1.dm3,1.dm3,C:\work\Lyu\testing\data\raw\Au rod\1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,cfbb8fc3fc_r003_c003.png,C:\work\Lyu\testing\data\converted_images\Au rod\1_cfbb8fc3fc_resized\cfbb8fc3fc_r003_c003.png,0.23401901125907898,0.23401901125907898,nm,"(512, 512)",512,512,True,saved,cfbb8fc3fc,2026-05-19T01:22:24
C:\work\Lyu\testing\data\raw\Au rod::3.dm3,3.dm3,C:\work\Lyu\testing\data\raw\Au rod\3.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,3_baad54fecc.png,C:\work\Lyu\testing\data\converted_images\Au rod\3_baad54fecc_resized\3_baad54fecc.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,saved,baad54fecc,2026-05-19T01:18:22
