registration_key,source_name,source_path,source_pixel_size_y,source_pixel_size_x,source_pixel_unit,source_shape,source_image_height,source_image_width,converted_name,converted_path,converted_pixel_size_y,converted_pixel_size_x,converted_pixel_unit,converted_shape,converted_image_height,converted_image_width,keep_original_resolution,status,source_image_id,last_updated
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A125-30k-7.dm3,Au sphere A125-30k-7.dm3,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A125-30k-7.dm3,0.35510462522506714,0.35510462522506714,nm,"(2048, 2048)",2048,2048,Au sphere A125-30k-7_bf6fb1ce9c_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A125-30k-7_bf6fb1ce9c_resized.png,1.4204185009002686,1.4204185009002686,nm,"(512, 512)",512,512,False,saved,bf6fb1ce9c,2026-05-23T20:34:15
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A125-30k-9.dm3,Au sphere A125-30k-9.dm3,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A125-30k-9.dm3,0.35510462522506714,0.35510462522506714,nm,"(2048, 2048)",2048,2048,Au sphere A125-30k-9_73808e4d18_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A125-30k-9_73808e4d18_resized.png,1.4204185009002686,1.4204185009002686,nm,"(512, 512)",512,512,False,saved,73808e4d18,2026-05-23T20:34:15
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A265-2-4k-1.dm4,Au sphere A265-2-4k-1.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A265-2-4k-1.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,Au sphere A265-2-4k-1_94607ad48b_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A265-2-4k-1_94607ad48b_resized.png,1.5839089155197144,1.5839089155197144,nm,"(512, 512)",512,512,False,saved,94607ad48b,2026-05-23T20:34:15
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A265-2-4k-2.dm4,Au sphere A265-2-4k-2.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A265-2-4k-2.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,Au sphere A265-2-4k-2_8f3b8244c9_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A265-2-4k-2_8f3b8244c9_resized.png,1.5839089155197144,1.5839089155197144,nm,"(512, 512)",512,512,False,saved,8f3b8244c9,2026-05-23T20:34:15
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A265-3-4k-1.dm4,Au sphere A265-3-4k-1.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A265-3-4k-1.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,Au sphere A265-3-4k-1_d2c91228ce_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A265-3-4k-1_d2c91228ce_resized.png,1.5839089155197144,1.5839089155197144,nm,"(512, 512)",512,512,False,saved,d2c91228ce,2026-05-23T20:34:16
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A265-3-4k-2.dm4,Au sphere A265-3-4k-2.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A265-3-4k-2.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,Au sphere A265-3-4k-2_a47962a207_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A265-3-4k-2_a47962a207_resized.png,1.5839089155197144,1.5839089155197144,nm,"(512, 512)",512,512,False,saved,a47962a207,2026-05-23T20:34:16
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A265-3-4k-3.dm4,Au sphere A265-3-4k-3.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A265-3-4k-3.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,Au sphere A265-3-4k-3_c6be5691a6_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A265-3-4k-3_c6be5691a6_resized.png,1.5839089155197144,1.5839089155197144,nm,"(512, 512)",512,512,False,saved,c6be5691a6,2026-05-23T20:34:16
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A357-6k-3.dm4,Au sphere A357-6k-3.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A357-6k-3.dm4,0.26540565490722656,0.26540565490722656,nm,"(2048, 2048)",2048,2048,Au sphere A357-6k-3_2901034e9b_resized.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A357-6k-3_2901034e9b_resized.png,1.0616226196289062,1.0616226196289062,nm,"(512, 512)",512,512,False,saved,2901034e9b,2026-05-23T20:34:16
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A265-3-4k-4.dm4,Au sphere A265-3-4k-4.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A265-3-4k-4.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,a23f6c1718_r000_c000.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A265-3-4k-4_a23f6c1718_resized\a23f6c1718_r000_c000.png,0.3959772288799286,0.3959772288799286,nm,"(512, 512)",512,512,True,saved,a23f6c1718,2026-05-23T20:35:55
C:\work\Lyu\testing\data\raw\Au sphere::Au sphere A265-3-4k-4.dm4,Au sphere A265-3-4k-4.dm4,C:\work\Lyu\testing\data\raw\Au sphere\Au sphere A265-3-4k-4.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,a23f6c1718_r000_c001.png,C:\work\Lyu\testing\data\converted_images\Au sphere\Au sphere A265-3-4k-4_a23f6c1718_resized\a23f6c1718_r000_c001.png,0.3959772288799286,0.3959772288799286,nm,"(512, 512)",512,512,True,saved,a23f6c1718,2026-05-23T20:35:55
